Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.4470485,0.9282586,2.6020927,2.6020927,49.19452,110.84548,98.47853,-106.97896,1.7874311,-102.173996,-115.13913,-108.86391,2.1512575,-104.68645,-113.58316,-1.0011414,0.7086753,-0.1312331,-4.809869,-0.33217523,0.32418606,-0.0038924462,-0.6594887,-0.2727099,0.11043842,-0.15419388,-0.39775944,0.021135028,1.2471844,-14.431276296679854,-29.311841989397415,-29.39368944453637,2200,118000,0,94.86307254433632,118.40841141529381,62.43893783912063,275.71042179875076,6178.948476091027,21
0.021056745,0.9713968,0.015891548,0.015891548,28.237207,10.879313,123.70028,-123.08708,1.0814742,-119.500534,-126.33387,-120.5388,1.1193695,-117.96367,-123.14819,-1.2738245,0.49018395,-0.049788952,-4.191091,-0.19007087,0.16835594,-0.020442978,-0.36582893,-0.061562337,0.056519404,0.004281044,-0.1299324,0.02009263,1.289037,-14.639602202821862,-28.97132681410889,-29.332244277720342,2300,123000,0,105.31740590929985,118.64807666093111,61.18063932470977,285.14612189494073,6463.758181646466,22
0.020825278,1.013004,0.009062408,0.009062408,20.446728,0.7927174,119.78021,-121.91962,2.1745193,-116.291214,-127.68016,-120.193405,1.8079686,-116.57707,-124.32474,-1.2706196,0.49872705,0.049197674,-3.029294,-0.15462098,0.17953686,0.027481852,-0.33668342,-0.034152184,0.08171239,0.05011654,-0.12746334,0.028527468,1.1873491,-15.49549414357384,-30.119231845731896,-27.953707203879297,2400,128000,0,97.76286191865802,118.31195559166372,62.66902026720345,278.7438377775252,6743.029822936282,23
0.028387701,0.92727697,0.04867046,0.04867046,22.565125,14.4621525,118.92663,-117.97512,2.0806577,-110.810745,-126.14684,-115.20188,1.5059834,-110.33263,-121.2785,-1.2294719,0.5234847,-0.011724949,-2.9304752,-0.19240889,0.21496436,0.02407134,-0.40973684,-0.07479638,0.07445235,0.008131981,-0.15894794,0.08555886,1.1359265,-13.902760517533645,-30.69083657281903,-34.23141274082993,2500,133000,0,110.0647955685854,118.84003327786922,61.705287938937545,290.61011678539217,7032.1098160576075,24
0.0855083,0.8859785,0.19003522,0.19003522,28.361385,3.66035,110.35886,-112.922,6.379972,-100.092224,-132.4253,-109.20947,4.927865,-97.77469,-125.32506,-1.3215202,0.3243773,-0.40281713,-2.3830967,-0.124974206,0.06511009,-0.05876832,-0.19252095,-0.09055282,0.081159756,-0.0006914139,-0.18924522,0.044941653,1.1491613,-14.09154145411559,-33.566854477260414,-34.42740408377556,2600,138000,0,97.77943798154593,117.30967853218317,62.64278164692223,277.7318981606513,7312.659726532176,25
0.04511576,0.8992132,0.10571354,0.10571354,30.707478,5.7187705,109.09799,-109.10664,6.481915,-95.86601,-138.55437,-106.99619,6.2536397,-92.81244,-134.63394,-1.3491695,0.27341992,-0.65203667,-2.8299565,-0.08256568,0.103999145,0.031993408,-0.20167847,-0.12590396,0.054520525,-0.05940056,-0.19147873,0.23489329,1.0923355,-19.162532984235565,-36.44917693942664,-34.800084154108234,2700,143000,0,108.68330235406756,120.12766221165657,63.13769691623747,291.9486614819616,7601.6807559244335,26
0.23488799,0.854082,0.9637724,0.9637724,61.5148,7.131546,114.68299,-117.19292,11.326862,-96.47134,-148.2825,-112.59048,10.355358,-93.0331,-140.27242,-1.3044657,0.35645568,-0.42228353,-4.0008755,-0.09028585,0.006292595,-0.080047555,-0.10173042,-0.07798828,0.12818865,0.055817604,-0.21858788,0.047401406,1.2227224,-13.228949571076729,-26.419328598394248,-30.796156230634857,2800,148000,0,96.87833993323147,117.20022959075868,62.742524875327945,276.8210943993181,7880.92044585757,27
0.047830485,0.9620935,0.058199167,0.058199167,32.764057,14.038401,106.75092,-107.46793,10.9432535,-87.66615,-149.66508,-103.88838,9.480742,-89.397354,-140.05522,-1.2494866,0.46930906,-0.24908912,-3.7643545,-0.15682705,0.23715457,0.08140804,-0.39472103,-0.17329945,0.07029756,-0.073251724,-0.25818634,0.07021557,1.2847898,-14.825876568759437,-28.94712027600326,-28.524170478074787,2900,153000,0,97.42836700938642,119.61909315921366,62.27228197082877,279.31974213942885,8156.938940519467,28
0.069936454,1.0021931,0.087766446,0.087766446,58.574898,3.875033,109.714775,-111.173256,15.898713,-85.39351,-161.59961,-110.05412,15.211891,-85.027084,-155.93161,-1.2175255,0.5791661,0.060615063,-4.6711345,-0.26654193,0.19478637,-0.07058525,-0.4666222,-0.11499681,0.10942283,0.007961273,-0.23514938,0.016805917,1.2492331,-14.025301920973115,-27.944196659445605,-28.368120203409433,3000,158000,0,113.6692381426692,116.3190668746829,63.23620616085827,293.2245111782104,8449.127208229154,29
0.01689342,0.96841204,0.0105038,0.0105038,24.18267,8.506778,100.1401,-102.23915,19.681753,-68.185425,-161.23743,-101.323425,18.652102,-69.6846,-158.56845,-1.0316118,0.68417567,0.1595614,-3.9269912,-0.40316305,0.177984,-0.22435409,-0.5825168,-0.27478877,0.1504077,-0.11939621,-0.43351555,0.052149653,1.2594664,-13.780132619372036,-28.04862329169324,-28.344719830524717,3100,163000,0,99.46665657311678,115.2821685783565,63.78826160915196,278.53708676062524,8731.07423885353,30
0.05220481,0.97814834,0.053535245,0.053535245,19.413715,8.565279,91.44787,-91.97778,18.315784,-61.27791,-173.33206,-91.100624,18.07699,-62.486084,-169.65793,-1.0586697,0.77325535,0.4478401,-4.6660986,-0.44112006,0.15293948,-0.2868935,-0.59546405,-0.18531652,0.097514935,-0.08050823,-0.2925892,0.014307005,1.2432792,-14.159557108250016,-27.715450065239004,-28.790170642907874,3200,168000,0,111.81807796657085,118.69249942712486,63.167525025084615,293.6781024187803,9024.62926680781,31
0.014893798,0.9702508,0.009259036,0.009259036,24.353264,9.043258,98.68083,-99.60526,24.759895,-63.390285,-171.92691,-97.61218,24.160631,-64.54622,-169.95995,-0.96482563,0.79737407,0.31331646,-4.9107046,-0.44109616,0.2758758,-0.16467519,-0.7186727,-0.25189257,0.13347776,-0.110795975,-0.393322,0.06579233,1.2685943,-13.75756155545464,-28.114368462661485,-28.61852617500515,3300,173000,0,97.7191904950887,118.57107601501048,64.55601972900331,280.8462862391025,9304.394122729078,32
0.065237746,0.9858351,0.064276084,0.064276084,29.074799,9.692047,99.94989,-100.90039,26.377869,-68.354965,-182.10747,-98.85512,25.85703,-67.72766,-179.05508,-0.9943922,0.71526384,0.09182501,-4.3950872,-0.38518745,0.27064487,-0.1143361,-0.6564131,-0.2508676,0.13086124,-0.117845535,-0.3853016,0.074742846,1.2568231,-14.063348157348731,-27.706118520265058,-27.879070697284003,3400,178000,0,96.16772093996406,117.48879135213792,65.41358062811196,279.07009292021394,9585.271855575964,33
0.07478613,0.97958124,0.11633144,0.11633144,39.23291,18.208727,111.17875,-111.29741,28.759651,-71.36105,-190.7251,-109.137085,26.995422,-72.72043,-183.68811,-1.0037576,0.7398167,0.19778097,-7.275086,-0.39923194,0.25401425,-0.14478019,-0.65380627,-0.24874036,0.14849658,-0.093951225,-0.40248108,0.016779218,1.2745539,-14.06773641175261,-27.868675793227073,-28.143288092124173,3500,183000,0,99.78695286996663,119.2965981233865,65.49580654501915,284.5793575383723,9867.628187797964,34
0.016484845,0.9932567,0.008086743,0.008086743,40.7426,12.042536,105.05306,-105.5532,23.196032,-71.078514,-194.02109,-103.68091,22.494606,-70.115814,-189.99231,-0.9752507,0.7496746,0.2070831,-4.5602546,-0.40837926,0.28581446,-0.12178914,-0.69613695,-0.2461781,0.15523337,-0.0825243,-0.41378593,0.035160884,1.2743641,-13.627563547410237,-28.259534205841682,-27.542037980452363,3600,188000,0,101.43075916357338,117.07403554581106,65.55657605081797,284.0613707602024,10153.548715025187,35
0.03522959,0.99971265,0.019453827,0.019453827,34.88102,11.405067,106.53867,-107.971825,23.233229,-74.0753,-196.95242,-106.68465,22.51484,-75.35585,-192.624,-0.93391263,0.77829283,0.19345951,-4.4195848,-0.39804348,0.34775084,-0.04986903,-0.74808884,-0.20411238,0.08803174,-0.10657692,-0.29941463,0.056380503,1.2653434,-9.904819612878532,-20.289787843661895,-21.291619582952574,3700,193000,0,115.00174667872488,118.93434187397361,63.040885558351874,296.97697411105037,10452.198355512694,36
