VF Loss,V Predictions Min,Number of env steps total,Number of train steps total,QF Loss,Epoch Time (s),Log Pis Mean,Sample Time (s),Total Train Time (s),Policy Loss,Q Predictions Mean,AverageTrainReturn_all_train_tasks,V Predictions Std,Log Pis Min,Log Pis Max,Q Predictions Std,KL Divergence,V Predictions Max,Policy log std Std,Q Predictions Min,Z mean train,Policy mu Max,Policy log std Min,Epoch,Log Pis Std,V Predictions Mean,Z variance train,Policy mu Mean,Z mean eval,Q Predictions Max,(Previous) Eval Time (s),AverageReturn_all_train_tasks,Policy log std Mean,Policy mu Min,Train Time (s),Z variance eval,Policy mu Std,Policy log std Max,Number of rollouts total,AverageReturn_all_test_tasks,KL Loss
166.373,-1323.58,296000,28000,369.245,120.15961277399856,2.88585,12.038720049999029,3370.4517580450165,481.089,-505.586,2.9933536109,295.046,-6.05266,7.99748,294.08,231.42245483398438,-111.335,0.148746,-1352.22,1.00216,2.86676,-1.45605,27,2.28494,-472.479,0.0246804,0.471645,1.10528,-121.6,3.504591392999828,1.25102135259,-0.692653,-2.97428,104.6163013309997,1.25368,1.75061,-0.0980666,0,0.318042217255,231.42245483398438
152.009,-1017.66,306000,29000,731.091,120.04857005700069,3.06814,12.038624396001069,3490.4997472180166,440.606,-471.123,6.56404084338,208.165,-6.66167,7.84921,225.681,240.9457244873047,-48.6063,0.149723,-1134.69,0.682297,3.01503,-1.3985,28,2.16501,-431.21,0.0158111,0.290068,0.359822,-50.8841,3.504853121999986,0.319735780788,-0.702511,-2.7962,104.50509253899963,0.627282,1.83365,-0.131201,0,0.852377446867,240.9457244873047
89.8236,-1066.85,316000,30000,300.729,120.07668220900086,2.83158,12.042370568000479,3610.5767904410186,441.96,-468.334,4.21857896943,237.18,-6.44187,7.56601,248.277,235.35150146484375,-82.1626,0.149525,-1153.78,1.00113,2.90941,-1.41091,29,2.06175,-436.181,0.00799642,0.487586,0.47234,-80.1792,3.5045655670000997,0.0821757983181,-0.70864,-2.85287,104.52974607400029,0.0419619,1.72852,-0.258031,0,0.62347806385,235.35150146484375
73.1228,-1040.7,326000,31000,395.186,120.22314671300046,2.81603,12.051794252000036,3730.7960773320174,466.915,-493.34,8.686950828,232.285,-10.2885,7.6384,241.123,222.24905395507812,-95.768,0.155543,-1096.87,0.676187,2.97992,-1.43686,30,2.16132,-470.032,0.0221278,0.353379,3.68927,-88.0605,3.505248625000604,0.726054779269,-0.67765,-2.80814,104.66610383599982,3.04275,1.75997,-0.125822,0,0.591835670979,222.24905395507812
39.3797,-996.858,336000,32000,101.272,120.09680793499865,2.94961,12.04012180799873,3850.8928325350153,365.682,-395.282,6.76093900585,190.312,-6.83145,8.61262,204.349,305.778564453125,-84.4902,0.172815,-1070.95,0.769331,2.82581,-1.45809,31,2.14557,-364.945,0.0121921,0.486185,2.90859,-91.1194,3.501693750999948,0.301360254271,-0.719389,-3.23557,104.55499237599997,2.91225,1.7656,-0.082334,0,0.968243133625,305.778564453125
75.2419,-1194.93,346000,33000,383.966,120.1206978240034,2.7175,12.027259360002063,3971.0161397130187,351.459,-375.55,4.96521881356,261.618,-7.37034,8.89124,274.279,346.01458740234375,-0.0922172,0.228214,-1314.15,1.01789,3.11124,-1.54424,32,1.95943,-349.01,0.0129236,0.656794,0.428075,-4.84046,3.5020018700006403,0.572562186815,-0.727616,-3.0661,104.5914365940007,0.0497254,1.61238,-0.335203,0,1.03633162571,346.01458740234375
149.671,-1218.22,356000,34000,303.118,120.40537966499778,3.12252,12.018955495997943,4091.509763546016,347.301,-379.454,5.36435155594,211.681,-5.83003,8.23271,236.466,315.4410400390625,-5.74697,0.188193,-1367.77,0.791391,3.02149,-1.54098,33,2.09511,-339.241,0.0124212,0.39865,1.65405,-20.7677,3.5049692550001055,0.265286321841,-0.714156,-2.91358,104.88145491399973,1.74281,1.82475,-0.0914287,0,0.534866487148,315.4410400390625
76.2668,-1140.62,366000,35000,395.625,120.00971195500279,3.04991,12.334924843002227,4211.504898130019,411.375,-443.113,6.13579826426,213.53,-6.2863,8.17533,234.4,275.1832275390625,-84.2049,0.200314,-1218.03,0.938957,2.86429,-1.40463,34,2.23239,-414.67,0.0216296,0.215051,4.9624,-82.4495,3.5934826950006027,0.40772719797,-0.717827,-2.83575,104.08130441699996,3.29701,1.8362,-0.219471,0,0.527577619708,275.1832275390625
36.39,-1018.48,376000,36000,115.264,120.07349670499843,2.85061,12.33228813399819,4331.577554300017,318.115,-347.749,9.60936491277,175.158,-6.77727,8.31263,195.981,323.38714599609375,-83.7652,0.198648,-1108.74,0.856677,2.93469,-1.50288,35,2.15508,-320.596,0.0023279,0.506447,1.47829,-78.1862,3.5793046280005,0.502968747608,-0.751034,-2.83192,104.16190394299974,1.50932,1.72911,-0.337539,0,0.107741091608,323.38714599609375
65.0044,-1539.16,386000,37000,229.912,120.09691490199475,3.07052,12.343088695995903,4451.673870329012,461.947,-495.147,8.10665157786,245.209,-7.08799,8.46934,263.358,249.45252990722656,-82.6479,0.160544,-1665.7,0.258416,2.97547,-1.54537,36,2.06763,-465.255,0.0103867,0.185166,4.07769,-76.1754,3.578834432999429,1.04438375275,-0.676348,-3.04939,104.17499177299942,3.14528,1.8678,-0.0950667,0,1.23523081046,249.45252990722656
77.1067,-1045.53,396000,38000,166.382,120.11253759400279,3.19412,12.319384240003274,4571.785885958013,358.841,-385.208,8.02860615789,232.521,-7.2367,7.97565,246.506,267.8657531738281,-48.8911,0.162723,-1154.17,1.47786,2.91671,-1.39991,37,2.15098,-355.58,0.0473673,0.201965,0.629795,-60.1069,3.5785372179998376,0.571832530383,-0.715089,-2.90094,104.21461613599968,0.0585259,1.86241,-0.0968524,0,0.409914705831,267.8657531738281
124.665,-1433.73,406000,39000,807.194,120.1063288409996,2.93846,12.328380261000348,4691.892634761016,399.992,-431.589,5.41390103344,223.946,-6.88647,7.80041,244.172,285.6212158203125,-50.9179,0.192637,-1609.39,0.708079,3.05048,-1.48754,38,2.22046,-392.91,0.00154529,0.116256,4.07871,-54.0827,3.5784372309999526,0.32422757674,-0.725726,-2.78879,104.1995113489993,3.18781,1.81628,-0.13353,0,1.25113845255,285.6212158203125
