Policy log std Mean,(Previous) Eval Time (s),Policy log std Max,Epoch,Q Predictions Max,Number of env steps total,Log Pis Max,Log Pis Min,QF Loss,Policy Loss,AverageTrainReturn_all_train_tasks,Policy mu Min,Train Time (s),VF Loss,Q Predictions Mean,V Predictions Mean,Policy log std Std,Log Pis Std,Z mean train,Policy log std Min,Total Train Time (s),AverageReturn_all_train_tasks,Log Pis Mean,Policy mu Std,V Predictions Std,KL Divergence,Policy mu Max,V Predictions Min,Z mean eval,KL Loss,Number of rollouts total,AverageReturn_all_test_tasks,Epoch Time (s),V Predictions Max,Q Predictions Std,Number of train steps total,Z variance train,Sample Time (s),Q Predictions Min,Policy mu Mean,Z variance eval
-0.69644,3.480272399000569,-0.0821481,21,-162.317,236000,6.01332,-8.26228,814.02,660.655,3.4581500604,-2.48967,104.11925626099946,40.4248,-669.573,-656.35,0.290529,1.82119,0.520859,-1.93554,2648.988294241002,0.459927774602,0.997777,1.20072,198.763,286.9539794921875,2.86123,-1115.49,0.494521,286.9539794921875,0,0.221689471603,119.6655467440005,-163.515,200.915,22000,0.00266566,12.066018084000461,-1150.02,0.288321,0.624843
-0.729323,3.490040900999702,-0.22596,22,-127.848,246000,6.8876,-7.51088,986.359,615.84,3.96363635613,-2.65698,104.02774452299946,44.0862,-622.432,-616.392,0.242695,1.91618,0.173162,-1.93567,2768.575698640004,1.09666184376,1.62871,1.39213,275.65,320.22760009765625,2.80575,-1134.55,4.27484,320.22760009765625,0,0.914782812159,119.59630252700026,-129.806,276.836,23000,0.00657806,12.078517103001104,-1165.64,0.258255,4.9478
-0.679299,3.481480301999909,-0.119564,23,-205.881,256000,7.56966,-7.95718,493.523,758.395,2.87376179379,-3.04414,104.23169349399996,103.104,-781.063,-751.727,0.196294,2.18224,1.80743,-1.65743,2888.3418240460014,0.946389176307,1.91163,1.53377,311.65,262.88043212890625,2.76072,-1667.22,2.50082,262.88043212890625,0,0.52512137538,119.77411605199813,-194.659,322.829,24000,0.0534686,12.06094225599827,-1797.89,0.104109,2.54728
-0.687378,3.4737834859997747,-0.190819,24,-126.205,266000,7.64171,-8.21269,337.754,567.734,3.49525067487,-2.50354,104.08281633099978,41.2007,-584.249,-564.889,0.222058,2.1479,0.983951,-1.80049,3007.968142065003,0.769857234598,1.92217,1.42226,277.101,317.4176025390625,2.85422,-1080.95,2.19874,317.4176025390625,0,0.529262316999,119.62134570500257,-122.384,274.962,25000,0.000605088,12.064745888003017,-1140.58,0.604667,1.63298
-0.752516,3.4790383409999777,-0.144303,25,-86.7178,276000,7.17654,-8.66168,455.904,448.508,4.50529232327,-2.80175,104.23386310499973,116.685,-465.499,-457.512,0.271921,2.04578,1.4554,-1.77131,3127.7480495300015,0.884998656683,2.11049,1.35415,226.155,324.3759765625,2.85811,-967.135,2.56472,324.3759765625,0,0.281411595334,119.77954677099933,-85.5029,226.775,26000,0.000591925,12.066645324999627,-1026.84,0.800466,1.72355
-0.688226,3.479760793999958,-0.0663934,26,-79.5207,286000,6.9603,-8.89317,845.148,579.836,4.2166390358,-2.71625,104.23274342399964,74.1261,-598.454,-584.683,0.203786,1.85019,0.326147,-1.65023,3247.5258155320025,0.042915189429,2.01818,1.46815,234.055,272.3987121582031,2.77954,-1068.4,0.982554,272.3987121582031,0,0.314566557631,119.7771839850011,-95.7611,244.831,27000,0.00463864,12.064679767001508,-1170.11,0.518361,1.07829
-0.733802,3.4806007059996773,-0.240829,27,-71.3044,296000,10.1358,-6.38366,1188.21,555.685,2.85665875788,-3.18279,104.36043513000004,195.119,-570.784,-550.913,0.221352,2.14236,0.93258,-1.58507,3367.4201299020024,0.295879017058,2.34748,1.47517,259.276,306.4072570800781,3.44924,-1229.69,0.533688,306.4072570800781,0,0.0,119.8832412669999,-75.1907,268.827,28000,0.00296183,12.042205431000184,-1467.79,0.716427,1.14442
-0.698838,3.492024071000742,-0.248606,28,-71.9005,306000,7.62034,-10.228,592.914,606.794,5.84124961872,-2.75468,104.30491983800039,232.636,-624.565,-619.739,0.163531,2.04651,0.293124,-1.58182,3487.2800265560054,0.470493975716,2.30894,1.55394,237.105,250.60955810546875,2.7951,-1069.42,1.24337,250.60955810546875,0,0.394135446062,119.86801500500405,-80.614,235.963,29000,0.0135937,12.071071096002925,-1115.76,0.486224,0.0716085
-0.723568,3.4843510640002933,-0.277599,29,-100.195,316000,7.21451,-6.05126,451.861,535.207,4.10960600604,-2.51825,104.32639035000011,97.8333,-558.447,-532.361,0.180658,1.9491,1.23568,-1.47843,3607.151262799008,0.476574056149,2.77127,1.69902,279.95,302.6330871582031,2.85677,-1165.57,1.62752,302.6330871582031,0,0.319462502924,119.87504003400318,-98.3228,281.856,30000,0.000530259,12.064298620002774,-1243.01,0.445614,0.156966
-0.712771,3.4809077230002003,-0.199205,30,-74.4517,326000,8.36483,-6.03435,888.367,547.786,7.58590055447,-2.94716,104.41784923999967,68.4223,-571.161,-549.227,0.196244,2.08913,1.00097,-1.55444,3727.155196737007,0.95276846183,2.95748,1.73084,257.47,287.4590759277344,2.9965,-1116.79,2.30541,287.4590759277344,0,0.346627167063,119.96238841299873,-69.4354,258.577,31000,0.00421616,12.063631449998866,-1154.07,0.504488,3.78744
-0.7523,3.522773628000323,-0.337101,31,-69.6607,336000,7.2263,-7.7651,642.392,444.806,4.23930885799,-2.69636,103.9746006309997,115.855,-464.347,-437.116,0.215115,2.01661,1.24055,-1.58415,3846.7656502700083,0.866301151109,2.44277,1.61435,257.089,347.9404296875,2.92873,-1140.04,3.31658,347.9404296875,0,0.633375624724,119.61227755000073,-59.1287,262.107,32000,0.00091016,12.1149032910007,-1245.18,0.450257,1.35152
-0.732169,3.5212818350000816,-0.299895,32,-51.7876,346000,8.13967,-7.18849,448.172,492.546,5.46018452582,-2.80711,104.01322908899965,255.144,-513.167,-506.32,0.201733,1.99006,0.885976,-1.50602,3966.4022091220068,0.440131733843,2.25621,1.57505,337.154,332.0400390625,3.04333,-1363.24,3.01423,332.0400390625,0,0.332053470608,119.63392251699952,-64.7163,344.525,33000,0.0191228,12.099411592999786,-1458.3,0.362808,1.24322
-0.727292,3.524345171999812,-0.396008,33,-75.2605,356000,8.03419,-6.86836,1391.83,501.8,3.25602821147,-2.83188,104.23681400199985,147.347,-525.305,-508.817,0.188316,2.1117,1.26727,-1.62041,4086.273095495005,0.95121669954,2.48118,1.65247,299.684,334.8826904296875,2.88047,-1258.25,2.86864,334.8826904296875,0,0.278480511125,119.85012836199894,-77.5603,299.254,34000,0.000471007,12.088969187999282,-1333.94,0.310104,1.22825
-0.732435,3.54548231499939,-0.340276,34,-63.0505,366000,7.84076,-7.08493,834.934,578.383,6.32064912058,-2.90807,104.02922807600044,181.199,-602.49,-575.531,0.22432,1.95593,0.678573,-1.73614,4205.951348482005,0.364145502401,2.53755,1.68834,315.184,325.5697021484375,2.94486,-1393.51,2.63398,325.5697021484375,0,1.4574794183,119.6962489610014,-69.7968,326.865,35000,0.00335682,12.121538570001576,-1496.74,0.127841,1.18112
-0.714837,3.5279665130001376,-0.253213,35,-88.6333,376000,8.3114,-6.23783,1137.02,460.745,7.45150386666,-2.98486,103.79154957999981,63.5585,-487.247,-463.616,0.184672,1.98015,1.05753,-1.70363,4325.375942076009,0.747785486124,2.73796,1.7015,269.967,340.6634521484375,3.09097,-1236.17,3.00487,340.6634521484375,0,0.600729829214,119.4385649820033,-88.6556,276.444,36000,0.000209476,12.119048889003352,-1330.38,0.490663,1.46616
-0.659592,3.5142886560006446,-0.184937,36,-92.541,386000,7.63998,-7.04439,984.537,567.458,7.83934263848,-2.87798,103.90841554000053,252.055,-591.422,-566.684,0.136244,2.1156,0.457499,-1.46698,4444.912225462009,0.54770785231,2.86476,1.79725,252.298,339.04022216796875,3.12329,-1339.79,3.9256,339.04022216796875,0,0.335826232355,119.53170435000175,-78.6657,247.804,37000,0.0101455,12.109000154000569,-1497.37,0.288773,1.82348
-0.676307,3.5193135769995934,-0.297645,37,-74.3127,396000,8.2419,-6.36711,458.64,462.3,5.2949511873,-2.8265,103.93019302500034,152.173,-495.043,-456.366,0.142631,2.03391,1.20926,-1.49148,4564.50680208901,0.642536083992,2.75771,1.75246,249.056,332.788818359375,3.02304,-1496.24,3.65918,332.788818359375,0,0.963354064046,119.55398118200083,-64.5531,260.227,38000,0.0128964,12.104474580000897,-1644.78,0.309486,1.49961
