Log Pis Max,Number of rollouts total,V Predictions Max,V Predictions Mean,Q Predictions Min,Sample Time (s),Number of train steps total,VF Loss,Q Predictions Max,Policy log std Max,(Previous) Eval Time (s),AverageTrainReturn_all_train_tasks,Log Pis Mean,Q Predictions Std,Log Pis Min,Z mean eval,KL Divergence,Policy mu Min,Policy mu Max,Z variance eval,Epoch Time (s),Policy mu Mean,KL Loss,Number of env steps total,Policy mu Std,Epoch,Z mean train,QF Loss,AverageReturn_all_test_tasks,Policy log std Std,AverageReturn_all_train_tasks,Train Time (s),Policy log std Min,Q Predictions Mean,Total Train Time (s),V Predictions Min,Policy log std Mean,Policy Loss,V Predictions Std,Log Pis Std,Z variance train
8.46646,0,-137.178,-612.586,-1109.74,11.973492539999825,21000,158.689,-149.66,0.168644,3.472708503000831,3.51079013647,0.857728,216.752,-7.08399,1.73326,166.56298828125,-2.76387,2.82312,2.9006,119.42135829400013,0.47303,166.56298828125,226000,1.13082,20,1.40552,1168.11,0.860972590154,0.179603,3.28338416472,103.97515725099947,-1.31711,-633.952,2512.530005239991,-967.968,-0.643086,624.802,213.597,2.12279,0.0576768
7.38072,0,-145.205,-645.151,-1004.02,12.528554338001413,22000,67.5128,-150.409,0.30553,3.6168379809996622,0.726022294194,0.85318,132.377,-6.32997,1.81092,148.7412567138672,-2.55535,2.9111,2.90418,120.63070156800131,0.404921,148.7412567138672,236000,1.16305,21,0.143633,801.981,0.598248417211,0.144272,1.35579172331,104.48530924900024,-1.19026,-659.406,2633.172721464994,-925.997,-0.610968,653.029,126.822,1.82324,0.000844584
7.24195,0,-148.76,-557.562,-1096.29,12.538486153001031,23000,41.1283,-145.586,-0.260121,3.6291061070005526,1.88539996795,0.798636,220.809,-6.09875,2.66682,166.20208740234375,-2.50675,2.69923,3.92166,120.56524075100151,0.38095,166.20208740234375,246000,1.12613,22,1.11555,1159.32,1.21424636757,0.205033,1.59260544085,104.39764849099993,-1.40042,-568.398,2753.7746965219953,-1031.74,-0.692987,562.659,214.557,1.87625,0.0359375
7.19962,0,-151.039,-668.244,-1210.79,12.53888731799998,24000,112.702,-153.545,0.0894188,3.6661909000004016,0.574180553386,1.24309,245.678,-6.71523,1.80774,174.00912475585938,-2.60328,2.63106,3.00268,120.77394185100093,0.474772,174.00912475585938,256000,1.25665,23,1.14263,919.553,1.05611036375,0.192938,0.392642245554,104.56886363300055,-1.24484,-692.775,2874.4928465319977,-1122.94,-0.637507,678.045,234.448,2.03937,0.0352419
7.75464,0,-134.371,-571.938,-1127.08,12.527967521998107,25000,58.5337,-128.706,0.066329,3.610679202999563,1.6391555459,1.14563,202.509,-6.52342,1.33141,161.2366180419922,-2.74392,2.89955,2.41658,120.64986883299753,0.470201,161.2366180419922,266000,1.25333,24,1.0951,871.861,1.55375324259,0.198246,0.580884438904,104.51122210799986,-1.3068,-575.855,2995.1588475379936,-1021.05,-0.603642,565.224,200.227,1.98253,0.0366702
6.7336,0,-134.865,-537.25,-1042.09,12.535279863001051,26000,109.439,-128.614,-0.191034,3.6270650070000556,1.69415591753,1.02483,271.158,-7.657,3.04789,191.85232543945312,-2.57651,2.59735,5.19982,120.73029082100129,0.512801,191.85232543945312,276000,1.14452,25,0.150106,456.08,1.53116039013,0.214814,1.10650007008,104.56794595100018,-1.35139,-536.629,3115.8900689969946,-987.456,-0.683266,527.621,268.431,1.95686,0.0012696
7.20794,0,-142.356,-705.238,-1166.31,12.518766798001707,27000,417.314,-130.757,-0.147791,3.628349542000251,0.748537992211,1.02972,203.618,-5.35848,2.07683,175.23788452148438,-2.5904,2.77799,3.65823,120.74773843500134,0.5425,175.23788452148438,286000,1.20978,26,1.64788,1007.91,1.19924512704,0.146509,0.23796191937,104.60062209499938,-1.17306,-701.166,3236.6177789349954,-1119.33,-0.550336,686.345,206.879,2.02511,0.0547597
6.75824,0,-136.232,-643.273,-1188.12,12.524828074000652,28000,49.3061,-135.427,-0.16785,3.608587513999737,0.383058682065,1.03337,233.204,-7.39397,1.43474,175.025634765625,-2.72594,2.80998,2.52741,120.87636706400008,0.43771,175.025634765625,296000,1.23525,27,2.10062,602.307,1.01437070322,0.156372,0.0410336573007,104.74295147599969,-1.16034,-659.117,3357.5203186119957,-1095.23,-0.58355,649.234,227.743,1.97697,0.0721434
7.45822,0,-134.535,-599.71,-1155.9,12.517135926000265,29000,56.4286,-134.294,0.00299743,3.6350267879997773,3.179167633,1.07528,251.081,-6.88799,1.80163,191.31298828125,-2.70611,2.94842,3.225,120.8366883409999,0.614698,191.31298828125,306000,1.16281,28,0.895168,1069.87,0.379609180305,0.188663,1.41684858807,104.68452562699986,-1.14138,-612.863,3478.3504432609957,-1096.22,-0.610145,605.97,245.087,2.03699,0.0338291
7.61057,0,-133.96,-509.403,-963.441,12.520514851997177,30000,4.77711,-131.492,-0.350745,3.6288149829997565,0.538483182908,1.30682,280.724,-7.05631,1.29762,203.43228149414062,-2.618,2.83976,2.37727,120.86245632599639,0.600489,203.43228149414062,316000,1.20077,29,0.189359,569.511,0.738321984434,0.155263,0.192596884088,104.71312649099946,-1.23043,-516.069,3599.198517052991,-943.314,-0.692,510.035,276.932,1.95864,0.000666419
6.72819,0,-137.398,-620.984,-1226.01,12.520629252000617,31000,36.9727,-132.902,-0.151585,3.614725893000468,1.73049996025,1.04259,255.887,-7.25021,0.979325,184.38070678710938,-2.65255,2.84381,1.9364,120.66318298400165,0.506095,184.38070678710938,326000,1.17071,30,1.59123,1085.41,0.170392799339,0.182109,1.58478547968,104.52782783900057,-1.537,-627.532,3719.6918922849914,-1177.15,-0.665662,616.04,250.796,1.82184,0.0546056
7.22404,0,-128.749,-585.07,-1274.45,11.911956756998734,32000,15.3679,-131.987,0.0747048,3.4451575699995374,0.846600512228,0.888335,271.213,-6.62482,4.25059,186.9510498046875,-2.5813,2.65886,7.08696,119.05543035399751,0.270432,186.9510498046875,336000,1.18546,31,0.12972,747.802,0.522598156327,0.187666,0.450704285073,103.69831602699924,-1.48191,-595.948,3838.74678218699,-1224.57,-0.66059,584.495,270.21,1.84575,0.00252998
7.68652,0,-141.253,-569.923,-1326.85,11.899786360001599,33000,52.8557,-143.711,0.00767738,3.4450908090002486,1.05053409923,1.07491,219.524,-8.36092,0.37099,158.23834228515625,-2.87582,2.84972,1.08763,119.03581476000181,0.39733,158.23834228515625,346000,1.23891,32,1.04703,641.619,0.280285520148,0.147614,0.566345052275,103.69093759099997,-1.3632,-587.86,3957.7835922869913,-1202.08,-0.644787,575.722,212.825,1.84914,0.0392136
8.73264,0,-142.52,-507.227,-1220.24,11.881022872998983,34000,19.4381,-144.64,-0.185353,3.4463422439994247,2.57487937576,1.46191,291.789,-6.79697,0.906506,211.08518981933594,-2.95541,2.68146,2.24266,119.3580229579984,0.175565,211.08518981933594,356000,1.41088,33,0.210841,632.217,0.0886317355872,0.192007,1.14948999905,104.030657841,-1.37258,-526.54,4077.1405399969904,-1152.54,-0.696729,509.25,285.481,2.19818,0.000305002
6.64075,0,-312.611,-779.264,-1305.45,11.91946943000039,35000,40.8934,-313.196,0.671815,3.4455995299995266,1.91208510762,0.632237,158.461,-7.20796,2.61282,187.23260498046875,-2.5376,2.56723,5.04704,119.02470843300034,0.26541,187.23260498046875,366000,1.09131,34,2.09751,1292.78,0.737045121328,0.169337,0.786492697641,103.65963947300042,-1.15458,-782.659,4196.178344051992,-1237.75,-0.640371,774.223,157.623,1.6705,0.0770408
9.08004,0,-151.115,-608.395,-1225.84,11.906497240001954,36000,23.6099,-150.817,0.384309,3.459070935999989,2.28653947634,1.12476,248.044,-6.59243,0.145231,177.83204650878906,-3.0025,2.79845,0.747507,118.90506736000134,0.496792,177.83204650878906,376000,1.20533,35,0.30202,609.407,0.389239073995,0.16686,0.728838238707,103.5394991839994,-1.37671,-617.628,4315.067107069994,-1118.09,-0.643407,606.47,245.803,1.82857,0.0165701
8.01646,0,-149.123,-742.11,-1161.41,11.90241486099876,37000,77.1527,-149.639,-0.0288059,3.443106885999441,2.92115621614,1.22324,208.53,-7.58714,2.83267,190.9193115234375,-2.91605,2.74954,7.06826,118.98601842499829,0.304749,190.9193115234375,386000,1.2939,36,2.11326,999.021,0.109993773317,0.129456,1.21557145694,103.64049667800009,-1.26549,-758.908,4434.055095256992,-1119.45,-0.621749,750.183,210.554,1.8426,0.081501
7.63229,0,-125.363,-613.445,-1473.57,11.911522211002193,38000,12.7201,-126.741,0.0787799,3.44543461900048,4.03342571871,1.19481,284.241,-6.8223,0.201446,199.38418579101562,-2.77387,2.60082,0.0316731,119.1170376370028,0.435718,199.38418579101562,396000,1.2582,37,0.147137,707.081,0.557148266572,0.158207,0.321437445495,103.76008080700012,-1.31199,-621.844,4553.166913719995,-1376.08,-0.650153,612.161,284.801,1.9807,0.0101981
