Q Predictions Min,KL Loss,Policy mu Std,Z variance train,Sample Time (s),Policy mu Min,AverageReturn_all_test_tasks,Number of train steps total,Policy log std Max,Log Pis Max,Q Predictions Mean,Z mean eval,Total Train Time (s),AverageTrainReturn_all_train_tasks,Epoch Time (s),Policy log std Std,QF Loss,Z mean train,Epoch,(Previous) Eval Time (s),Z variance eval,Q Predictions Std,Policy log std Min,Log Pis Mean,V Predictions Min,V Predictions Mean,Policy mu Max,Log Pis Std,Q Predictions Max,Train Time (s),Policy Loss,AverageReturn_all_train_tasks,VF Loss,KL Divergence,V Predictions Max,Policy log std Mean,Number of env steps total,Log Pis Min,V Predictions Std,Policy mu Mean,Number of rollouts total
-1201.58,143.50929260253906,1.04766,0.0107514,12.066265649002162,-2.51778,0.298300940142,22000,-0.123522,6.7425,-726.805,1.92451,2647.961590017006,1.66986993891,120.42801771900213,0.158713,868.162,0.870658,21,3.5113204340004813,3.01066,121.507,-1.29889,0.443607,-1120.83,-708.754,2.69513,1.6647,-309.083,104.85043163599948,725.484,0.346355711846,293.161,143.50929260253906,-304.23,-0.626992,236000,-6.98396,117.012,0.243331,0
-1030.62,203.52490234375,1.10445,0.0185389,12.082396685002095,-2.35045,0.847431103727,23000,-0.215632,7.55223,-618.455,0.47472,2768.4875247530076,2.72780999564,120.52694517300188,0.209713,671.812,0.264753,22,3.5203762419996565,0.431244,253.39,-1.60077,0.94815,-989.663,-607.589,2.74976,1.84546,-92.9823,104.92417224600013,611.854,0.858407266205,60.8699,203.52490234375,-95.2653,-0.678952,246000,-7.0981,250.115,0.553749,0
-1355.09,190.32513427734375,1.25444,0.0119258,12.14389511400168,-2.50785,0.0,24000,-0.094421,7.52908,-695.74,0.354263,2889.010500932009,0.599372110182,120.52356179500111,0.280752,626.39,0.36674,23,3.519659796999804,0.14462,272.022,-1.7611,1.3004,-1253.17,-664.989,2.91255,1.96959,-110.819,104.86000688399963,685.776,0.201719087968,478.287,190.32513427734375,-109.61,-0.732639,256000,-6.81823,263.294,0.45102,0
-1015.26,225.4440460205078,1.31565,0.00185694,12.126809108999623,-2.54687,0.32082389909,25000,-0.235876,7.50793,-556.612,1.14248,3009.5452807160086,1.67233490133,120.52398454599916,0.230615,563.818,1.07604,24,3.5193844599998556,1.45462,175.453,-1.57194,1.39311,-988.051,-540.027,2.77821,1.95195,-152.837,104.87779097699968,546.854,0.0886081149778,75.446,225.4440460205078,-146.191,-0.708938,266000,-6.80862,174.559,0.349811,0
-1063.74,234.52633666992188,1.45761,0.00271148,12.118524094996246,-2.44485,0.929732775705,26000,-0.270998,7.33695,-513.475,0.405287,3129.9272863120054,2.63264363042,120.39368835899677,0.252003,474.805,0.923255,25,3.530407600000217,0.139236,261.867,-1.62475,1.94358,-1055.56,-503.448,2.99411,1.92171,-97.5046,104.7447566640003,499.857,0.350391927294,30.4664,234.52633666992188,-97.544,-0.760875,276000,-7.03069,259.909,0.373766,0
-1187.28,186.097900390625,1.42865,0.00303026,12.104576457000803,-2.34832,0.0,27000,-0.31429,8.97078,-691.51,3.07139,3250.4503846340035,1.37707716102,120.50839116800034,0.152336,716.956,0.550306,26,3.519073321000178,2.6188,183.294,-1.54715,1.85996,-1095.02,-675.543,3.43171,1.84559,-205.001,104.88474138999936,674.816,0.0,25.0605,186.097900390625,-201.982,-0.641336,286000,-7.32556,179.473,0.51108,0
-1195.01,206.95962524414062,1.3391,0.00252205,12.108469167001203,-2.66418,0.234851096168,28000,-0.0965543,7.52582,-654.09,0.395238,3370.9535641020034,0.967500023803,120.51924240200151,0.16166,564.259,0.234021,27,3.5341501370003243,0.131513,217.222,-1.64431,1.5865,-1141.17,-643.225,2.65654,1.88787,-128.53,104.87662309799998,642.618,0.0,34.6205,206.95962524414062,-132.468,-0.657053,296000,-7.10335,214.668,0.512298,0
-1237.18,206.9109649658203,1.34632,0.00762551,12.136294287001874,-3.01012,0.0,29000,-0.00759768,7.26521,-664.805,5.446,3491.2174815060057,4.66400074586,120.26611853700251,0.238695,690.719,0.334882,28,3.518456320000041,3.7538,216.657,-1.6217,1.48721,-1150.17,-652.668,2.96008,1.92906,-119.112,104.6113679300006,652.242,0.718626097104,37.2126,206.9109649658203,-115.432,-0.649677,306000,-6.17324,217.187,0.434982,0
-1114.68,267.484375,1.27749,0.00141134,12.093228540999917,-2.7835,0.258982334532,30000,-0.0108484,7.00055,-565.292,6.30702,3611.5115011610073,1.65596533625,120.28521755599922,0.279618,580.748,0.910733,29,3.516564885999287,4.00537,299.56,-1.62965,1.39274,-1105.69,-555.558,2.9473,1.8001,-77.1758,104.67542412900002,557.415,0.925830554928,36.0796,267.484375,-73.6486,-0.75808,316000,-6.36904,299.274,0.431602,0
-1191.74,220.32183837890625,1.46134,0.00633442,12.120252320999498,-2.76167,0.672956132769,31000,-0.156375,7.03351,-676.721,0.879107,3731.9728989860064,3.73341477342,120.43897753599958,0.201104,1030.4,0.229333,30,3.5257618120003826,0.0664353,218.921,-1.61166,1.75266,-1118.36,-659.203,3.25506,1.91485,-173.544,104.7929634029997,660.295,0.706280941177,45.1334,220.32183837890625,-172.385,-0.702046,326000,-6.31944,219.154,0.26484,0
-1242.75,301.318603515625,1.41556,0.00139692,12.106206742003451,-2.87442,0.264481369086,32000,-0.189289,7.61737,-477.396,0.976765,3852.290344977008,3.21634048853,120.33581372100343,0.236566,374.155,0.737739,31,3.5485168229997726,0.335378,234.811,-1.60867,2.02082,-1169.11,-462.942,2.84992,1.96199,-87.2585,104.68109015600021,463.754,0.867981057282,38.5402,301.318603515625,-85.5107,-0.754051,336000,-6.11681,231.519,0.586325,0
-1415.21,258.39263916015625,1.35572,0.0084763,12.098386023000785,-2.54073,0.289952194908,33000,-0.262871,7.25164,-567.507,0.659219,3972.690780275009,2.19821802873,120.41486750700096,0.158311,537.356,0.706797,32,3.530515190999722,0.211348,213.033,-1.46417,2.17908,-1320.49,-551.261,3.14334,1.86902,-86.5003,104.78596629300046,548.716,0.300826587222,97.741,258.39263916015625,-87.2502,-0.712324,346000,-6.5719,212.102,0.817886,0
-1350.42,336.17706298828125,1.50254,0.00226326,12.087116747002256,-2.75158,0.340028452603,34000,-0.306773,7.17678,-433.911,7.95153,4093.187057075011,2.3703231398,120.51082178000252,0.217646,221.193,0.903845,33,3.516369685999962,4.5022,262.762,-1.50554,2.04835,-1274.12,-418.48,2.85144,2.05729,-70.3485,104.9073353470003,413.268,0.352572391312,66.1328,336.17706298828125,-80.5726,-0.768341,356000,-6.58907,252.937,0.385946,0
-1524.16,282.625732421875,1.50127,0.0105472,12.097354980001,-2.65702,0.230259143381,35000,-0.230527,7.46613,-629.088,0.676257,4212.571524896013,5.11759881991,119.4042382760008,0.195107,689.906,0.732391,34,3.5021590649994323,0.146838,246.281,-1.43401,2.10095,-1459.48,-608.406,2.99114,2.05022,-170.458,103.80472423100036,614.171,0.257343549279,146.671,282.625732421875,-161.987,-0.755009,366000,-6.45585,243.767,0.402543,0
-1300.49,315.24755859375,1.59365,0.00635197,12.042634066002393,-3.00098,0.251831476971,36000,-0.0924515,8.50557,-495.582,7.86165,4331.970335325015,4.04387546743,119.4126039640023,0.175894,702.932,1.03995,35,3.4827502159996584,4.42734,208.712,-1.41122,2.49979,-1170.36,-479.514,2.87853,2.10109,-79.5167,103.88721968200025,471.484,0.545332137111,129.951,315.24755859375,-83.7692,-0.722238,376000,-6.53192,200.359,0.557355,0
